"           ","Deformation",    "Time"
"DP-1A",      0.0926,      0.0000
"DP-1A",      0.1157,      1.0000
"DP-1A",      0.1620,      2.0000
"DP-1A",      0.1620,      3.0000
"DP-1A",      0.1852,      4.0000
"DP-1A",      0.1852,      5.0000
"DP-1A",      0.1852,      6.0000
"DP-1A",      0.2083,      7.0000
"DP-1A",      0.1620,      8.0000
"DP-1A",      0.1389,      9.0000
"DP-1A",      0.0694,     10.0000
"DP-1A",     -0.0926,     11.0000
"DP-1A",     -0.3472,     12.0000
"DP-1A",     -0.6944,     13.0000
"DP-1A",     -0.9722,     14.0000
"DP-1A",     -1.2269,     15.0000
"DP-1A",     -1.4583,     16.0000
"DP-1A",     -1.6435,     17.0000
"DP-1A",     -1.8056,     18.0000
"DP-1A",     -1.9213,     19.0000
"DP-1A",     -2.0833,     20.0000
"DP-1A",     -2.2685,     21.0000
"DP-1A",     -2.4306,     22.0000
"DP-1A",     -2.5231,     23.0000
"DP-1A",     -2.6389,     24.0000
"DP-1A",     -2.7546,     25.0000
"DP-1A",     -2.8704,     26.0000
"DP-1A",     -3.0324,     27.0000
"DP-1A",     -3.1713,     28.0000
"DP-1A",     -3.3102,     29.0000
"DP-1A",     -3.5880,     30.0000
"DP-1A",     -6.0000,     31.0000

