"           ","Deformation",    "Time"
"DP-3D",      0.0641,      0.0000
"DP-3D",      0.0641,      1.0000
"DP-3D",      0.0427,      2.0000
"DP-3D",      0.0641,      3.0000
"DP-3D",      0.0641,      4.0000
"DP-3D",      0.0641,      5.0000
"DP-3D",      0.0427,      6.0000
"DP-3D",      0.0000,      7.0000
"DP-3D",     -0.1068,      8.0000
"DP-3D",     -0.3205,      9.0000
"DP-3D",     -0.5769,     10.0000
"DP-3D",     -0.8333,     11.0000
"DP-3D",     -1.0470,     12.0000
"DP-3D",     -1.3034,     13.0000
"DP-3D",     -1.5171,     14.0000
"DP-3D",     -1.7521,     15.0000
"DP-3D",     -1.9658,     16.0000
"DP-3D",     -2.1368,     17.0000
"DP-3D",     -2.2863,     18.0000
"DP-3D",     -2.4573,     19.0000
"DP-3D",     -2.5641,     20.0000
"DP-3D",     -2.6496,     21.0000
"DP-3D",     -2.7350,     22.0000
"DP-3D",     -2.7991,     23.0000
"DP-3D",     -2.8632,     24.0000
"DP-3D",     -2.8846,     25.0000
"DP-3D",     -2.9060,     26.0000
"DP-3D",     -2.9487,     27.0000
"DP-3D",     -2.9701,     28.0000
"DP-3D",     -3.0128,     29.0000
"DP-3D",     -3.0342,     30.0000
"DP-3D",     -3.0769,     31.0000
"DP-3D",     -3.1197,     32.0000
"DP-3D",     -3.1410,     33.0000
"DP-3D",     -3.2051,     34.0000
"DP-3D",     -3.2479,     35.0000
"DP-3D",     -3.2692,     36.0000
"DP-3D",     -3.6538,     37.0000
"DP-3D",     -4.0812,     38.0000
"DP-3D",     -4.4017,     39.0000
"DP-3D",     -6.0000,     40.0000

