"           ","Deformation",    "Time"
"DP-5B",      0.0855,      0.0000
"DP-5B",      0.0855,      1.0000
"DP-5B",      0.1282,      2.0000
"DP-5B",      0.1282,      3.0000
"DP-5B",      0.1496,      4.0000
"DP-5B",      0.1496,      5.0000
"DP-5B",      0.1496,      6.0000
"DP-5B",      0.1496,      7.0000
"DP-5B",      0.1496,      8.0000
"DP-5B",      0.1496,      9.0000
"DP-5B",      0.0641,     10.0000
"DP-5B",     -0.0855,     11.0000
"DP-5B",     -0.2564,     12.0000
"DP-5B",     -0.4487,     13.0000
"DP-5B",     -0.6197,     14.0000
"DP-5B",     -0.7265,     15.0000
"DP-5B",     -0.8333,     16.0000
"DP-5B",     -0.9402,     17.0000
"DP-5B",     -0.9829,     18.0000
"DP-5B",     -1.1111,     19.0000
"DP-5B",     -1.2179,     20.0000
"DP-5B",     -1.3248,     21.0000
"DP-5B",     -1.3675,     22.0000
"DP-5B",     -1.4103,     23.0000
"DP-5B",     -1.4316,     24.0000
"DP-5B",     -1.4530,     25.0000
"DP-5B",     -1.4744,     26.0000
"DP-5B",     -1.4744,     27.0000
"DP-5B",     -1.4957,     28.0000
"DP-5B",     -1.4957,     29.0000
"DP-5B",     -1.5171,     30.0000
"DP-5B",     -1.5385,     31.0000
"DP-5B",     -1.5385,     32.0000
"DP-5B",     -1.5385,     33.0000
"DP-5B",     -1.5598,     34.0000
"DP-5B",     -1.5598,     35.0000
"DP-5B",     -1.5598,     36.0000
"DP-5B",     -1.6239,     37.0000
"DP-5B",     -1.6453,     38.0000
"DP-5B",     -1.6667,     39.0000
"DP-5B",     -1.7094,     40.0000
"DP-5B",     -1.7521,     41.0000
"DP-5B",     -1.7735,     42.0000
"DP-5B",     -1.7949,     43.0000
"DP-5B",     -1.8803,     44.0000
"DP-5B",     -1.9872,     45.0000
"DP-5B",     -2.1154,     46.0000
"DP-5B",     -2.2436,     47.0000
"DP-5B",     -2.3504,     48.0000
"DP-5B",     -2.4573,     49.0000
"DP-5B",     -2.6068,     50.0000
"DP-5B",     -2.7137,     51.0000
"DP-5B",     -2.8632,     52.0000
"DP-5B",     -3.0342,     53.0000
"DP-5B",     -3.1838,     54.0000
"DP-5B",     -3.2692,     55.0000
"DP-5B",     -3.3547,     56.0000
"DP-5B",     -3.4402,     57.0000
"DP-5B",     -3.5043,     58.0000
"DP-5B",     -3.6325,     59.0000
"DP-5B",     -3.6752,     60.0000
"DP-5B",     -3.8889,     61.0000
"DP-5B",     -4.0598,     62.0000
"DP-5B",     -4.1026,     63.0000
"DP-5B",     -4.1667,     64.0000
"DP-5B",     -4.1880,     65.0000
"DP-5B",     -4.4231,     66.0000
"DP-5B",     -4.6581,     67.0000
"DP-5B",     -4.8077,     68.0000
"DP-5B",     -4.9573,     69.0000
"DP-5B",     -5.0641,     70.0000
"DP-5B",     -5.1709,     71.0000
"DP-5B",     -5.3419,     72.0000
"DP-5B",     -5.4701,     73.0000
"DP-5B",     -5.5983,     74.0000
"DP-5B",     -5.7479,     75.0000
"DP-5B",     -5.8974,     76.0000
"DP-5B",     -6.0000,     77.0000

