"           ","Deformation",    "Time"
"DP-3A",      0.0826,      0.0000
"DP-3A",      0.1240,      1.0000
"DP-3A",      0.1446,      2.0000
"DP-3A",      0.1860,      3.0000
"DP-3A",      0.2066,      4.0000
"DP-3A",      0.2273,      5.0000
"DP-3A",      0.2479,      6.0000
"DP-3A",      0.2893,      7.0000
"DP-3A",      0.3099,      8.0000
"DP-3A",      0.3099,      9.0000
"DP-3A",      0.3306,     10.0000
"DP-3A",      0.3306,     11.0000
"DP-3A",      0.3306,     12.0000
"DP-3A",      0.3512,     13.0000
"DP-3A",      0.3512,     14.0000
"DP-3A",      0.3512,     15.0000
"DP-3A",      0.3512,     16.0000
"DP-3A",      0.3512,     17.0000
"DP-3A",      0.3512,     18.0000
"DP-3A",      0.3512,     19.0000
"DP-3A",      0.3306,     20.0000
"DP-3A",      0.3306,     21.0000
"DP-3A",      0.3099,     22.0000
"DP-3A",      0.2893,     23.0000
"DP-3A",      0.2893,     24.0000
"DP-3A",      0.2686,     25.0000
"DP-3A",      0.2479,     26.0000
"DP-3A",      0.2273,     27.0000
"DP-3A",      0.2066,     28.0000
"DP-3A",      0.1860,     29.0000
"DP-3A",      0.1653,     30.0000
"DP-3A",      0.0620,     31.0000
"DP-3A",      0.0413,     32.0000
"DP-3A",      0.0207,     33.0000
"DP-3A",      0.0000,     34.0000
"DP-3A",     -0.0207,     35.0000
"DP-3A",     -0.0413,     36.0000
"DP-3A",     -0.0413,     37.0000
"DP-3A",     -0.0620,     38.0000
"DP-3A",     -0.0620,     39.0000
"DP-3A",     -0.0620,     40.0000
"DP-3A",     -0.0620,     41.0000
"DP-3A",     -0.0620,     42.0000
"DP-3A",     -0.0620,     43.0000
"DP-3A",     -0.0826,     44.0000
"DP-3A",     -0.0826,     45.0000
"DP-3A",     -0.0826,     46.0000
"DP-3A",     -0.1033,     47.0000
"DP-3A",     -0.1446,     48.0000
"DP-3A",     -0.1653,     49.0000
"DP-3A",     -0.2066,     50.0000
"DP-3A",     -0.2479,     51.0000
"DP-3A",     -0.3099,     52.0000
"DP-3A",     -0.3719,     53.0000
"DP-3A",     -0.4752,     54.0000
"DP-3A",     -0.5992,     55.0000
"DP-3A",     -0.7231,     56.0000
"DP-3A",     -0.8471,     57.0000
"DP-3A",     -0.9917,     58.0000
"DP-3A",     -1.1364,     59.0000
"DP-3A",     -1.2810,     60.0000
"DP-3A",     -1.4463,     61.0000
"DP-3A",     -1.6322,     62.0000
"DP-3A",     -1.7769,     63.0000
"DP-3A",     -1.9628,     64.0000
"DP-3A",     -2.1281,     65.0000
"DP-3A",     -2.2934,     66.0000
"DP-3A",     -2.4793,     67.0000
"DP-3A",     -2.6240,     68.0000
"DP-3A",     -2.8099,     69.0000
"DP-3A",     -2.9752,     70.0000
"DP-3A",     -3.1405,     71.0000
"DP-3A",     -3.3058,     72.0000
"DP-3A",     -3.4711,     73.0000
"DP-3A",     -3.6570,     74.0000
"DP-3A",     -3.8430,     75.0000
"DP-3A",     -4.0083,     76.0000
"DP-3A",     -4.2149,     77.0000
"DP-3A",     -4.4008,     78.0000
"DP-3A",     -4.5868,     79.0000
"DP-3A",     -4.7727,     80.0000
"DP-3A",     -4.9793,     81.0000
"DP-3A",     -5.1860,     82.0000
"DP-3A",     -5.3719,     83.0000
"DP-3A",     -5.5785,     84.0000
"DP-3A",     -5.7645,     85.0000
"DP-3A",     -5.9917,     86.0000
"DP-3A",     -6.0000,     87.0000

