"           ","Deformation",    "Time"
"DP-4A",      0.0826,      0.0000
"DP-4A",      0.1033,      1.0000
"DP-4A",      0.1446,      2.0000
"DP-4A",      0.1653,      3.0000
"DP-4A",      0.2066,      4.0000
"DP-4A",      0.2273,      5.0000
"DP-4A",      0.2479,      6.0000
"DP-4A",      0.2686,      7.0000
"DP-4A",      0.2893,      8.0000
"DP-4A",      0.3099,      9.0000
"DP-4A",      0.3099,     10.0000
"DP-4A",      0.3099,     11.0000
"DP-4A",      0.3306,     12.0000
"DP-4A",      0.3306,     13.0000
"DP-4A",      0.3306,     14.0000
"DP-4A",      0.3306,     15.0000
"DP-4A",      0.3306,     16.0000
"DP-4A",      0.3306,     17.0000
"DP-4A",      0.3306,     18.0000
"DP-4A",      0.3306,     19.0000
"DP-4A",      0.3306,     20.0000
"DP-4A",      0.3306,     21.0000
"DP-4A",      0.2686,     22.0000
"DP-4A",      0.2479,     23.0000
"DP-4A",      0.2686,     24.0000
"DP-4A",      0.2686,     25.0000
"DP-4A",      0.2479,     26.0000
"DP-4A",      0.2479,     27.0000
"DP-4A",      0.2479,     28.0000
"DP-4A",      0.2273,     29.0000
"DP-4A",      0.2273,     30.0000
"DP-4A",      0.2273,     31.0000
"DP-4A",      0.2273,     32.0000
"DP-4A",      0.2273,     33.0000
"DP-4A",      0.2273,     34.0000
"DP-4A",      0.2066,     35.0000
"DP-4A",      0.2066,     36.0000
"DP-4A",      0.2066,     37.0000
"DP-4A",      0.2066,     38.0000
"DP-4A",      0.2066,     39.0000
"DP-4A",      0.2273,     40.0000
"DP-4A",      0.2273,     41.0000
"DP-4A",      0.2273,     42.0000
"DP-4A",      0.2273,     43.0000
"DP-4A",      0.2273,     44.0000
"DP-4A",      0.2273,     45.0000
"DP-4A",      0.2273,     46.0000
"DP-4A",      0.2066,     47.0000
"DP-4A",      0.2066,     48.0000
"DP-4A",      0.1653,     49.0000
"DP-4A",      0.1446,     50.0000
"DP-4A",      0.1033,     51.0000
"DP-4A",      0.0413,     52.0000
"DP-4A",     -0.0207,     53.0000
"DP-4A",     -0.0826,     54.0000
"DP-4A",     -0.1860,     55.0000
"DP-4A",     -0.2893,     56.0000
"DP-4A",     -0.3926,     57.0000
"DP-4A",     -0.4959,     58.0000
"DP-4A",     -0.6198,     59.0000
"DP-4A",     -0.7438,     60.0000
"DP-4A",     -0.8678,     61.0000
"DP-4A",     -0.9917,     62.0000
"DP-4A",     -1.1570,     63.0000
"DP-4A",     -1.3017,     64.0000
"DP-4A",     -1.4256,     65.0000
"DP-4A",     -1.5909,     66.0000
"DP-4A",     -1.7355,     67.0000
"DP-4A",     -1.8802,     68.0000
"DP-4A",     -2.0041,     69.0000
"DP-4A",     -2.1488,     70.0000
"DP-4A",     -2.2727,     71.0000
"DP-4A",     -2.3967,     72.0000
"DP-4A",     -2.5413,     73.0000
"DP-4A",     -2.6860,     74.0000
"DP-4A",     -2.8306,     75.0000
"DP-4A",     -2.9545,     76.0000
"DP-4A",     -3.0992,     77.0000
"DP-4A",     -3.2438,     78.0000
"DP-4A",     -3.3678,     79.0000
"DP-4A",     -3.4917,     80.0000
"DP-4A",     -3.6157,     81.0000
"DP-4A",     -3.7603,     82.0000
"DP-4A",     -3.9050,     83.0000
"DP-4A",     -4.0496,     84.0000
"DP-4A",     -4.1942,     85.0000
"DP-4A",     -4.3182,     86.0000
"DP-4A",     -4.4628,     87.0000
"DP-4A",     -4.6074,     88.0000
"DP-4A",     -4.7521,     89.0000
"DP-4A",     -4.8967,     90.0000
"DP-4A",     -5.0413,     91.0000
"DP-4A",     -5.1860,     92.0000
"DP-4A",     -5.3099,     93.0000
"DP-4A",     -5.4752,     94.0000
"DP-4A",     -5.6198,     95.0000
"DP-4A",     -5.7645,     96.0000
"DP-4A",     -5.9298,     97.0000
"DP-4A",     -6.0000,     98.0000

