"           ","Deformation",    "Time"
"DP-1E",      0.0826,      0.0000
"DP-1E",      0.1240,      1.0000
"DP-1E",      0.1446,      2.0000
"DP-1E",      0.1860,      3.0000
"DP-1E",      0.2066,      4.0000
"DP-1E",      0.2273,      5.0000
"DP-1E",      0.2686,      6.0000
"DP-1E",      0.2686,      7.0000
"DP-1E",      0.2893,      8.0000
"DP-1E",      0.2893,      9.0000
"DP-1E",      0.3099,     10.0000
"DP-1E",      0.3099,     11.0000
"DP-1E",      0.3099,     12.0000
"DP-1E",      0.3099,     13.0000
"DP-1E",      0.3099,     14.0000
"DP-1E",      0.3099,     15.0000
"DP-1E",      0.3306,     16.0000
"DP-1E",      0.3099,     17.0000
"DP-1E",      0.3099,     18.0000
"DP-1E",      0.3099,     19.0000
"DP-1E",      0.3099,     20.0000
"DP-1E",      0.3099,     21.0000
"DP-1E",      0.3099,     22.0000
"DP-1E",      0.2893,     23.0000
"DP-1E",      0.2479,     24.0000
"DP-1E",      0.2273,     25.0000
"DP-1E",      0.1860,     26.0000
"DP-1E",      0.1653,     27.0000
"DP-1E",      0.1446,     28.0000
"DP-1E",      0.1033,     29.0000
"DP-1E",      0.0826,     30.0000
"DP-1E",      0.0620,     31.0000
"DP-1E",      0.0413,     32.0000
"DP-1E",      0.0000,     33.0000
"DP-1E",      0.0000,     34.0000
"DP-1E",     -0.0207,     35.0000
"DP-1E",     -0.0207,     36.0000
"DP-1E",     -0.0207,     37.0000
"DP-1E",     -0.0207,     38.0000
"DP-1E",     -0.0207,     39.0000
"DP-1E",     -0.0207,     40.0000
"DP-1E",     -0.0413,     41.0000
"DP-1E",     -0.0620,     42.0000
"DP-1E",     -0.0620,     43.0000
"DP-1E",     -0.0826,     44.0000
"DP-1E",     -0.1033,     45.0000
"DP-1E",     -0.1446,     46.0000
"DP-1E",     -0.1653,     47.0000
"DP-1E",     -0.2066,     48.0000
"DP-1E",     -0.2479,     49.0000
"DP-1E",     -0.3099,     50.0000
"DP-1E",     -0.3719,     51.0000
"DP-1E",     -0.4339,     52.0000
"DP-1E",     -0.5372,     53.0000
"DP-1E",     -0.6612,     54.0000
"DP-1E",     -0.7851,     55.0000
"DP-1E",     -0.9504,     56.0000
"DP-1E",     -1.0950,     57.0000
"DP-1E",     -1.2397,     58.0000
"DP-1E",     -1.3843,     59.0000
"DP-1E",     -1.5289,     60.0000
"DP-1E",     -1.6736,     61.0000
"DP-1E",     -1.8388,     62.0000
"DP-1E",     -1.9835,     63.0000
"DP-1E",     -2.1488,     64.0000
"DP-1E",     -2.3347,     65.0000
"DP-1E",     -2.4587,     66.0000
"DP-1E",     -2.6033,     67.0000
"DP-1E",     -2.7479,     68.0000
"DP-1E",     -2.8926,     69.0000
"DP-1E",     -3.0785,     70.0000
"DP-1E",     -3.2025,     71.0000
"DP-1E",     -3.3471,     72.0000
"DP-1E",     -3.4917,     73.0000
"DP-1E",     -3.6364,     74.0000
"DP-1E",     -3.7810,     75.0000
"DP-1E",     -3.9876,     76.0000
"DP-1E",     -4.1322,     77.0000
"DP-1E",     -4.2769,     78.0000
"DP-1E",     -4.4008,     79.0000
"DP-1E",     -4.5455,     80.0000
"DP-1E",     -4.6901,     81.0000
"DP-1E",     -4.8347,     82.0000
"DP-1E",     -4.9587,     83.0000
"DP-1E",     -5.0826,     84.0000
"DP-1E",     -5.2273,     85.0000
"DP-1E",     -5.3512,     86.0000
"DP-1E",     -5.5165,     87.0000
"DP-1E",     -5.6405,     88.0000
"DP-1E",     -5.8058,     89.0000
"DP-1E",     -5.9298,     90.0000
"DP-1E",     -6.0000,     91.0000

