"           ","Deformation",    "Time"
"DP-6A",      0.0826,      0.0000
"DP-6A",      0.1240,      1.0000
"DP-6A",      0.1653,      2.0000
"DP-6A",      0.1860,      3.0000
"DP-6A",      0.2273,      4.0000
"DP-6A",      0.2479,      5.0000
"DP-6A",      0.2893,      6.0000
"DP-6A",      0.3099,      7.0000
"DP-6A",      0.3306,      8.0000
"DP-6A",      0.3306,      9.0000
"DP-6A",      0.3512,     10.0000
"DP-6A",      0.3512,     11.0000
"DP-6A",      0.3512,     12.0000
"DP-6A",      0.3512,     13.0000
"DP-6A",      0.3512,     14.0000
"DP-6A",      0.3719,     15.0000
"DP-6A",      0.3719,     16.0000
"DP-6A",      0.3512,     17.0000
"DP-6A",      0.3512,     18.0000
"DP-6A",      0.3306,     19.0000
"DP-6A",      0.3099,     20.0000
"DP-6A",      0.2893,     21.0000
"DP-6A",      0.2479,     22.0000
"DP-6A",      0.2273,     23.0000
"DP-6A",      0.1860,     24.0000
"DP-6A",      0.1446,     25.0000
"DP-6A",      0.1240,     26.0000
"DP-6A",      0.0826,     27.0000
"DP-6A",      0.0620,     28.0000
"DP-6A",      0.0207,     29.0000
"DP-6A",      0.0000,     30.0000
"DP-6A",     -0.0413,     31.0000
"DP-6A",     -0.0620,     32.0000
"DP-6A",     -0.0826,     33.0000
"DP-6A",     -0.0826,     34.0000
"DP-6A",     -0.1033,     35.0000
"DP-6A",     -0.1033,     36.0000
"DP-6A",     -0.1033,     37.0000
"DP-6A",     -0.1240,     38.0000
"DP-6A",     -0.1240,     39.0000
"DP-6A",     -0.1240,     40.0000
"DP-6A",     -0.1240,     41.0000
"DP-6A",     -0.1240,     42.0000
"DP-6A",     -0.1446,     43.0000
"DP-6A",     -0.1446,     44.0000
"DP-6A",     -0.1446,     45.0000
"DP-6A",     -0.1653,     46.0000
"DP-6A",     -0.1653,     47.0000
"DP-6A",     -0.1860,     48.0000
"DP-6A",     -0.2066,     49.0000
"DP-6A",     -0.2273,     50.0000
"DP-6A",     -0.2686,     51.0000
"DP-6A",     -0.3099,     52.0000
"DP-6A",     -0.3719,     53.0000
"DP-6A",     -0.4339,     54.0000
"DP-6A",     -0.5165,     55.0000
"DP-6A",     -0.6198,     56.0000
"DP-6A",     -0.7438,     57.0000
"DP-6A",     -0.8471,     58.0000
"DP-6A",     -0.9504,     59.0000
"DP-6A",     -1.0950,     60.0000
"DP-6A",     -1.2397,     61.0000
"DP-6A",     -1.3636,     62.0000
"DP-6A",     -1.5083,     63.0000
"DP-6A",     -1.6322,     64.0000
"DP-6A",     -1.7562,     65.0000
"DP-6A",     -1.8802,     66.0000
"DP-6A",     -1.9835,     67.0000
"DP-6A",     -2.1074,     68.0000
"DP-6A",     -2.2314,     69.0000
"DP-6A",     -2.3554,     70.0000
"DP-6A",     -2.4793,     71.0000
"DP-6A",     -2.5826,     72.0000
"DP-6A",     -2.7066,     73.0000
"DP-6A",     -2.8099,     74.0000
"DP-6A",     -2.9339,     75.0000
"DP-6A",     -3.0372,     76.0000
"DP-6A",     -3.1405,     77.0000
"DP-6A",     -3.2231,     78.0000
"DP-6A",     -3.3058,     79.0000
"DP-6A",     -3.4091,     80.0000
"DP-6A",     -3.4917,     81.0000
"DP-6A",     -3.5950,     82.0000
"DP-6A",     -3.6777,     83.0000
"DP-6A",     -3.7603,     84.0000
"DP-6A",     -3.8430,     85.0000
"DP-6A",     -3.9050,     86.0000
"DP-6A",     -3.9876,     87.0000
"DP-6A",     -4.0496,     88.0000
"DP-6A",     -4.1322,     89.0000
"DP-6A",     -4.1942,     90.0000
"DP-6A",     -4.2769,     91.0000
"DP-6A",     -4.3182,     92.0000
"DP-6A",     -4.4008,     93.0000
"DP-6A",     -4.4628,     94.0000
"DP-6A",     -4.5455,     95.0000
"DP-6A",     -4.6074,     96.0000
"DP-6A",     -4.6694,     97.0000
"DP-6A",     -4.7314,     98.0000
"DP-6A",     -4.8140,     99.0000
"DP-6A",     -4.8760,    100.0000
"DP-6A",     -4.9380,    101.0000
"DP-6A",     -4.9793,    102.0000
"DP-6A",     -5.0620,    103.0000
"DP-6A",     -5.1240,    104.0000
"DP-6A",     -5.1653,    105.0000
"DP-6A",     -5.2273,    106.0000
"DP-6A",     -5.2893,    107.0000
"DP-6A",     -5.3512,    108.0000
"DP-6A",     -5.4132,    109.0000
"DP-6A",     -5.4545,    110.0000
"DP-6A",     -5.5165,    111.0000
"DP-6A",     -5.5579,    112.0000
"DP-6A",     -5.6198,    113.0000
"DP-6A",     -5.6818,    114.0000
"DP-6A",     -5.7438,    115.0000
"DP-6A",     -5.7851,    116.0000
"DP-6A",     -5.8678,    117.0000
"DP-6A",     -5.9298,    118.0000
"DP-6A",     -5.9917,    119.0000
"DP-6A",     -6.0000,    120.0000

