"           ","Deformation",    "Time"
"DP-6B",      0.0826,      0.0000
"DP-6B",      0.1240,      1.0000
"DP-6B",      0.1653,      2.0000
"DP-6B",      0.2066,      3.0000
"DP-6B",      0.2273,      4.0000
"DP-6B",      0.2686,      5.0000
"DP-6B",      0.2893,      6.0000
"DP-6B",      0.3099,      7.0000
"DP-6B",      0.3306,      8.0000
"DP-6B",      0.3306,      9.0000
"DP-6B",      0.3512,     10.0000
"DP-6B",      0.3512,     11.0000
"DP-6B",      0.3512,     12.0000
"DP-6B",      0.3512,     13.0000
"DP-6B",      0.3719,     14.0000
"DP-6B",      0.3512,     15.0000
"DP-6B",      0.3512,     16.0000
"DP-6B",      0.3719,     17.0000
"DP-6B",      0.3719,     18.0000
"DP-6B",      0.3512,     19.0000
"DP-6B",      0.3512,     20.0000
"DP-6B",      0.3306,     21.0000
"DP-6B",      0.3099,     22.0000
"DP-6B",      0.2893,     23.0000
"DP-6B",      0.2686,     24.0000
"DP-6B",      0.2273,     25.0000
"DP-6B",      0.2273,     26.0000
"DP-6B",      0.2066,     27.0000
"DP-6B",      0.1860,     28.0000
"DP-6B",      0.1860,     29.0000
"DP-6B",      0.1446,     30.0000
"DP-6B",      0.1446,     31.0000
"DP-6B",      0.1240,     32.0000
"DP-6B",      0.1240,     33.0000
"DP-6B",      0.1240,     34.0000
"DP-6B",      0.1240,     35.0000
"DP-6B",      0.1240,     36.0000
"DP-6B",      0.1240,     37.0000
"DP-6B",      0.1240,     38.0000
"DP-6B",      0.1240,     39.0000
"DP-6B",      0.1240,     40.0000
"DP-6B",      0.1240,     41.0000
"DP-6B",      0.1240,     42.0000
"DP-6B",      0.1240,     43.0000
"DP-6B",      0.1033,     44.0000
"DP-6B",      0.1033,     45.0000
"DP-6B",      0.0826,     46.0000
"DP-6B",      0.0620,     47.0000
"DP-6B",      0.0207,     48.0000
"DP-6B",     -0.0207,     49.0000
"DP-6B",     -0.0620,     50.0000
"DP-6B",     -0.1446,     51.0000
"DP-6B",     -0.2479,     52.0000
"DP-6B",     -0.3512,     53.0000
"DP-6B",     -0.4752,     54.0000
"DP-6B",     -0.6198,     55.0000
"DP-6B",     -0.7645,     56.0000
"DP-6B",     -0.9091,     57.0000
"DP-6B",     -1.0537,     58.0000
"DP-6B",     -1.1983,     59.0000
"DP-6B",     -1.3636,     60.0000
"DP-6B",     -1.5083,     61.0000
"DP-6B",     -1.6529,     62.0000
"DP-6B",     -1.7562,     63.0000
"DP-6B",     -1.9008,     64.0000
"DP-6B",     -2.0455,     65.0000
"DP-6B",     -2.1488,     66.0000
"DP-6B",     -2.2727,     67.0000
"DP-6B",     -2.4174,     68.0000
"DP-6B",     -2.5413,     69.0000
"DP-6B",     -2.6446,     70.0000
"DP-6B",     -2.7479,     71.0000
"DP-6B",     -2.8512,     72.0000
"DP-6B",     -2.9545,     73.0000
"DP-6B",     -3.0785,     74.0000
"DP-6B",     -3.1818,     75.0000
"DP-6B",     -3.3058,     76.0000
"DP-6B",     -3.4091,     77.0000
"DP-6B",     -3.4917,     78.0000
"DP-6B",     -3.5950,     79.0000
"DP-6B",     -3.6983,     80.0000
"DP-6B",     -3.7810,     81.0000
"DP-6B",     -3.8843,     82.0000
"DP-6B",     -3.9669,     83.0000
"DP-6B",     -4.0702,     84.0000
"DP-6B",     -4.1736,     85.0000
"DP-6B",     -4.2355,     86.0000
"DP-6B",     -4.3182,     87.0000
"DP-6B",     -4.4008,     88.0000
"DP-6B",     -4.4835,     89.0000
"DP-6B",     -4.5661,     90.0000
"DP-6B",     -4.6488,     91.0000
"DP-6B",     -4.7107,     92.0000
"DP-6B",     -4.7727,     93.0000
"DP-6B",     -4.8554,     94.0000
"DP-6B",     -4.9380,     95.0000
"DP-6B",     -5.0000,     96.0000
"DP-6B",     -5.0620,     97.0000
"DP-6B",     -5.1240,     98.0000
"DP-6B",     -5.1860,     99.0000
"DP-6B",     -5.2686,    100.0000
"DP-6B",     -5.3099,    101.0000
"DP-6B",     -5.3926,    102.0000
"DP-6B",     -5.4339,    103.0000
"DP-6B",     -5.4959,    104.0000
"DP-6B",     -5.5579,    105.0000
"DP-6B",     -5.5992,    106.0000
"DP-6B",     -5.6612,    107.0000
"DP-6B",     -5.7025,    108.0000
"DP-6B",     -5.7645,    109.0000
"DP-6B",     -5.8058,    110.0000
"DP-6B",     -5.8471,    111.0000
"DP-6B",     -5.9091,    112.0000
"DP-6B",     -5.9711,    113.0000
"DP-6B",     -6.0000,    114.0000

