"           ","Deformation",    "Time"
"DP-6F",      0.0820,      0.0000
"DP-6F",      0.1230,      1.0000
"DP-6F",      0.1639,      2.0000
"DP-6F",      0.2049,      3.0000
"DP-6F",      0.2459,      4.0000
"DP-6F",      0.2664,      5.0000
"DP-6F",      0.2869,      6.0000
"DP-6F",      0.3074,      7.0000
"DP-6F",      0.3279,      8.0000
"DP-6F",      0.3484,      9.0000
"DP-6F",      0.3689,     10.0000
"DP-6F",      0.3689,     11.0000
"DP-6F",      0.3689,     12.0000
"DP-6F",      0.3893,     13.0000
"DP-6F",      0.3893,     14.0000
"DP-6F",      0.3893,     15.0000
"DP-6F",      0.3893,     16.0000
"DP-6F",      0.3893,     17.0000
"DP-6F",      0.3893,     18.0000
"DP-6F",      0.3893,     19.0000
"DP-6F",      0.3893,     20.0000
"DP-6F",      0.3893,     21.0000
"DP-6F",      0.3689,     22.0000
"DP-6F",      0.3484,     23.0000
"DP-6F",      0.3279,     24.0000
"DP-6F",      0.3074,     25.0000
"DP-6F",      0.2869,     26.0000
"DP-6F",      0.2664,     27.0000
"DP-6F",      0.2459,     28.0000
"DP-6F",      0.2254,     29.0000
"DP-6F",      0.2049,     30.0000
"DP-6F",      0.1639,     31.0000
"DP-6F",      0.1434,     32.0000
"DP-6F",      0.1230,     33.0000
"DP-6F",      0.1230,     34.0000
"DP-6F",      0.1230,     35.0000
"DP-6F",      0.1230,     36.0000
"DP-6F",      0.1230,     37.0000
"DP-6F",      0.1230,     38.0000
"DP-6F",      0.1230,     39.0000
"DP-6F",      0.1230,     40.0000
"DP-6F",      0.1230,     41.0000
"DP-6F",      0.1230,     42.0000
"DP-6F",      0.1230,     43.0000
"DP-6F",      0.1025,     44.0000
"DP-6F",      0.1230,     45.0000
"DP-6F",      0.1025,     46.0000
"DP-6F",      0.1025,     47.0000
"DP-6F",      0.0820,     48.0000
"DP-6F",      0.0615,     49.0000
"DP-6F",      0.0410,     50.0000
"DP-6F",     -0.0205,     51.0000
"DP-6F",     -0.0615,     52.0000
"DP-6F",     -0.1230,     53.0000
"DP-6F",     -0.1844,     54.0000
"DP-6F",     -0.2869,     55.0000
"DP-6F",     -0.3893,     56.0000
"DP-6F",     -0.5123,     57.0000
"DP-6F",     -0.6148,     58.0000
"DP-6F",     -0.7582,     59.0000
"DP-6F",     -0.8811,     60.0000
"DP-6F",     -1.0041,     61.0000
"DP-6F",     -1.1270,     62.0000
"DP-6F",     -1.2295,     63.0000
"DP-6F",     -1.3525,     64.0000
"DP-6F",     -1.4754,     65.0000
"DP-6F",     -1.5779,     66.0000
"DP-6F",     -1.7213,     67.0000
"DP-6F",     -1.8443,     68.0000
"DP-6F",     -1.9467,     69.0000
"DP-6F",     -2.0697,     70.0000
"DP-6F",     -2.1516,     71.0000
"DP-6F",     -2.2541,     72.0000
"DP-6F",     -2.3566,     73.0000
"DP-6F",     -2.4590,     74.0000
"DP-6F",     -2.5615,     75.0000
"DP-6F",     -2.6639,     76.0000
"DP-6F",     -2.7664,     77.0000
"DP-6F",     -2.8484,     78.0000
"DP-6F",     -2.9303,     79.0000
"DP-6F",     -3.0328,     80.0000
"DP-6F",     -3.1352,     81.0000
"DP-6F",     -3.2172,     82.0000
"DP-6F",     -3.3197,     83.0000
"DP-6F",     -3.4016,     84.0000
"DP-6F",     -3.4836,     85.0000
"DP-6F",     -3.5656,     86.0000
"DP-6F",     -3.6475,     87.0000
"DP-6F",     -3.7295,     88.0000
"DP-6F",     -3.8115,     89.0000
"DP-6F",     -3.8730,     90.0000
"DP-6F",     -3.9549,     91.0000
"DP-6F",     -4.0369,     92.0000
"DP-6F",     -4.0984,     93.0000
"DP-6F",     -4.1803,     94.0000
"DP-6F",     -4.2623,     95.0000
"DP-6F",     -4.3238,     96.0000
"DP-6F",     -4.4057,     97.0000
"DP-6F",     -4.4672,     98.0000
"DP-6F",     -4.5492,     99.0000
"DP-6F",     -4.6107,    100.0000
"DP-6F",     -4.6721,    101.0000
"DP-6F",     -4.7336,    102.0000
"DP-6F",     -4.8156,    103.0000
"DP-6F",     -4.8566,    104.0000
"DP-6F",     -4.9180,    105.0000
"DP-6F",     -4.9795,    106.0000
"DP-6F",     -5.0410,    107.0000
"DP-6F",     -5.0820,    108.0000
"DP-6F",     -5.1434,    109.0000
"DP-6F",     -5.1844,    110.0000
"DP-6F",     -5.2459,    111.0000
"DP-6F",     -5.2869,    112.0000
"DP-6F",     -5.3279,    113.0000
"DP-6F",     -5.3893,    114.0000
"DP-6F",     -5.4098,    115.0000
"DP-6F",     -5.4713,    116.0000
"DP-6F",     -5.5123,    117.0000
"DP-6F",     -5.5738,    118.0000
"DP-6F",     -5.6148,    119.0000
"DP-6F",     -5.6557,    120.0000
"DP-6F",     -5.7172,    121.0000
"DP-6F",     -5.7582,    122.0000
"DP-6F",     -5.7787,    123.0000
"DP-6F",     -5.8402,    124.0000
"DP-6F",     -5.8811,    125.0000
"DP-6F",     -5.9221,    126.0000
"DP-6F",     -5.9631,    127.0000
"DP-6F",     -6.0000,    128.0000

